Date,Open,High,Low,Close
2008-06-13,5761.7,5818.3,5719.5,5802.8
2008-06-16,5794.6,5794.6,5794.6,5794.6
2008-06-17,5861.9,5861.9,5861.9,5861.9
2008-06-18,5756.9,5756.9,5756.9,5756.9
2008-06-19,5755.5,5786.4,5708.4,5708.4
2008-06-20,5620.8,5620.8,5620.8,5620.8
2008-06-23,5620.8,5679.2,5603.2,5667.2
2008-06-24,5667.2,5693.8,5581.6,5634.7
2008-06-25,5634.7,5669.6,5634.7,5666.1
2008-06-26,5666.1,5666.1,5518.2,5518.2
2008-06-27,5518.2,5555.2,5470.9,5529.9
2008-06-30,5529.9,5625.9,5520.2,5625.9
2008-07-01,5625.9,5625.9,5466.3,5479.9
2008-07-02,5479.9,5566.8,5426.3,5426.3
2008-07-03,5426.3,5490.6,5358.5,5476.6
2008-07-04,5476.6,5490.2,5394.0,5412.8
2008-07-07,5412.8,5516.4,5400.1,5512.7
2008-07-08,5512.7,5512.7,5358.7,5440.5
2008-07-09,5440.5,5538.2,5440.5,5529.6
2008-07-10,5529.6,5529.6,5392.6,5406.8
2008-07-11,5406.8,5461.8,5261.6,5261.6
2008-07-14,5261.6,5373.2,5261.6,5300.4
2008-07-15,5300.4,5300.4,5119.0,5171.9
2008-07-16,5171.9,5210.1,5071.1,5150.6
2008-07-17,5150.6,5320.5,5150.6,5286.3
2008-07-18,5286.3,5376.4,5216.6,5376.4
2008-07-21,5376.4,5445.8,5334.6,5404.3
2008-07-22,5404.3,5404.3,5282.8,5364.1
2008-07-23,5364.1,5467.2,5364.1,5449.9
2008-07-24,5449.9,5463.7,5345.1,5362.3
2008-07-25,5362.3,5375.2,5291.4,5352.6
2008-07-28,5352.6,5365.8,5308.4,5312.6
2008-07-29,5312.6,5354.6,5261.4,5319.2
2008-07-30,5319.2,5435.9,5319.2,5420.7
2008-07-31,5420.7,5456.1,5371.3,5411.9
2008-08-01,5411.9,5411.9,5321.3,5354.7
2008-08-04,5354.7,5414.7,5310.3,5320.2
2008-08-05,5320.2,5454.5,5299.7,5454.5
2008-08-06,5454.5,5498.6,5440.1,5486.1
2008-08-07,5486.1,5539.3,5450.9,5477.5
2008-08-08,5477.5,5507.2,5410.8,5489.2
2008-08-11,5489.2,5541.8,5477.7,5541.8
2008-08-12,5541.8,5569.2,5491.3,5534.5
2008-08-13,5534.5,5534.5,5437.1,5448.6
2008-08-14,5448.6,5539.6,5445.6,5497.4
2008-08-15,5497.4,5538.8,5432.2,5454.8
2008-08-18,5454.8,5498.7,5425.3,5450.2
2008-08-19,5450.2,5450.2,5317.1,5320.4
2008-08-20,5320.4,5384.2,5320.4,5371.8
2008-08-21,5371.8,5408.0,5311.4,5370.2
