Date,Open,High,Low,Close
2008-01-02,1467.97,1471.77,1442.07,1447.16
2008-01-03,1447.55,1456.8,1443.73,1447.16
2008-01-04,1444.01,1444.01,1411.19,1411.63
2008-01-07,1414.07,1423.87,1403.45,1416.18
2008-01-08,1415.71,1430.28,1388.3,1390.19
2008-01-09,1390.25,1409.19,1378.7,1409.13
2008-01-10,1406.78,1429.09,1395.31,1420.33
2008-01-11,1419.91,1419.91,1394.83,1401.02
2008-01-14,1402.91,1417.89,1402.91,1416.25
2008-01-15,1411.88,1411.88,1380.6,1380.95
2008-01-16,1377.41,1391.99,1364.43,1373.2
2008-01-17,1374.79,1377.72,1330.67,1333.25
2008-01-18,1336.61,1350.28,1312.51,1325.19
2008-01-22,1312.94,1322.09,1274.29,1310.5
2008-01-23,1310.41,1339.09,1270.05,1338.6
2008-01-24,1340.13,1355.15,1334.31,1352.07
2008-01-25,1357.32,1368.05,1327.5,1330.61
2008-01-28,1330.7,1353.97,1322.43,1353.96
2008-01-29,1355.94,1364.93,1350.19,1362.3
2008-01-30,1362.22,1385.86,1352.95,1355.81
2008-01-31,1351.98,1385.62,1334.08,1378.55
2008-02-01,1378.6,1396.02,1375.93,1395.42
2008-02-04,1394.89,1394.89,1379.69,1380.82
2008-02-05,1380.28,1380.28,1336.64,1336.64
2008-02-06,1339.48,1351.96,1324.34,1326.45
2008-02-07,1324.01,1347.16,1316.75,1336.91
2008-02-08,1336.88,1341.22,1321.06,1331.29
2008-02-11,1331.92,1341.4,1320.32,1339.13
2008-02-12,1340.55,1362.1,1339.36,1348.86
2008-02-13,1353.12,1369.23,1350.78,1367.21
2008-02-14,1367.33,1368.16,1347.31,1348.86
2008-02-15,1347.52,1350.0,1338.13,1349.99
2008-02-19,1355.86,1367.28,1345.72,1348.78
2008-02-20,1348.39,1363.71,1336.55,1360.03
2008-02-21,1362.21,1367.94,1339.34,1342.53
2008-02-22,1344.22,1354.3,1327.04,1353.11
2008-02-25,1352.75,1374.36,1346.03,1371.8
2008-02-26,1371.76,1387.34,1363.29,1381.29
2008-02-27,1378.95,1388.34,1372.0,1380.02
2008-02-28,1378.16,1378.16,1363.16,1367.68
2008-02-29,1364.07,1364.07,1325.42,1330.63
2008-03-03,1330.45,1335.13,1320.04,1331.34
2008-03-04,1329.58,1331.03,1307.39,1326.75
2008-03-05,1327.69,1344.19,1320.22,1333.7
2008-03-06,1332.2,1332.2,1303.42,1304.34
2008-03-07,1301.53,1313.24,1282.43,1293.37
2008-03-10,1293.16,1295.01,1272.66,1273.37
2008-03-11,1280.76,1320.65,1280.76,1320.65
2008-03-12,1321.13,1333.26,1307.86,1308.77
2008-03-13,1305.26,1321.68,1282.11,1315.48
2008-03-14,1316.05,1321.47,1274.86,1288.14
2008-03-17,1283.21,1287.5,1256.98,1276.6
2008-03-18,1277.16,1330.74,1277.16,1330.74
2008-03-19,1330.97,1341.51,1298.42,1298.42
2008-03-20,1299.67,1330.67,1295.22,1329.51
2008-03-24,1330.29,1359.68,1330.29,1349.88
2008-03-25,1349.07,1357.47,1341.21,1352.99
2008-03-26,1350.16,1350.16,1336.41,1341.13
2008-03-27,1340.34,1345.62,1325.66,1325.76
2008-03-28,1327.02,1334.87,1312.95,1315.22
2008-03-31,1315.92,1328.52,1312.81,1322.7
2008-04-01,1326.41,1370.18,1326.41,1370.18
2008-04-02,1369.96,1377.95,1361.55,1367.53
2008-04-03,1365.69,1375.66,1358.68,1369.31
2008-04-04,1369.85,1380.76,1362.83,1370.4
2008-04-07,1373.69,1386.74,1369.02,1372.54
2008-04-08,1370.16,1370.16,1360.62,1365.54
2008-04-09,1365.5,1368.39,1349.97,1354.49
2008-04-10,1355.37,1367.24,1350.11,1360.55
2008-04-11,1357.98,1357.98,1331.21,1332.83
2008-04-14,1332.2,1335.64,1326.16,1328.32
2008-04-15,1331.72,1337.72,1324.35,1334.43
2008-04-16,1337.02,1365.49,1337.02,1364.71
2008-04-17,1363.37,1368.6,1357.25,1365.56
2008-04-18,1369.0,1395.9,1369.0,1390.33
2008-04-21,1387.72,1390.23,1379.25,1388.17
2008-04-22,1386.43,1386.43,1369.84,1375.94
2008-04-23,1378.4,1387.87,1372.24,1379.93
2008-04-24,1380.52,1397.72,1371.09,1388.82
2008-04-25,1387.88,1399.02,1380.25,1397.84
2008-04-28,1397.96,1402.9,1394.82,1396.37
2008-04-29,1395.61,1397.0,1386.7,1390.94
2008-04-30,1391.22,1404.57,1384.27,1385.59
2008-05-01,1385.97,1409.94,1383.07,1409.34
2008-05-02,1409.16,1422.53,1406.35,1413.9
2008-05-05,1415.34,1415.34,1404.37,1407.49
2008-05-06,1405.6,1421.11,1397.1,1418.26
2008-05-07,1417.49,1419.54,1391.16,1392.57
2008-05-08,1394.29,1402.35,1389.39,1397.68
2008-05-09,1394.9,1394.9,1384.11,1388.28
2008-05-12,1389.4,1404.06,1386.2,1403.58
2008-05-13,1404.4,1406.3,1396.26,1403.04
2008-05-14,1405.65,1420.19,1405.65,1408.66
2008-05-15,1408.36,1424.02,1406.98,1423.57
2008-05-16,1423.89,1425.82,1414.35,1425.35
2008-05-19,1425.28,1440.24,1421.83,1426.63
2008-05-20,1424.49,1424.49,1409.09,1413.4
2008-05-21,1414.06,1418.89,1388.84,1390.71
2008-05-22,1390.83,1399.07,1390.23,1394.35
2008-05-23,1392.2,1392.2,1373.86,1375.93
2008-05-27,1375.97,1387.16,1373.07,1385.35
2008-05-28,1386.54,1391.25,1378.16,1390.84
2008-05-29,1390.5,1406.32,1388.59,1398.26
2008-05-30,1398.36,1404.46,1398.08,1400.38
2008-06-02,1399.62,1399.62,1377.79,1385.67
2008-06-03,1386.42,1393.09,1370.12,1377.65
2008-06-04,1376.26,1388.18,1371.74,1377.2
2008-06-05,1377.48,1404.05,1377.48,1404.05
2008-06-06,1400.06,1400.06,1359.9,1360.68
2008-06-09,1360.83,1370.63,1350.68,1361.76
2008-06-10,1358.98,1366.8,1351.72,1358.44
2008-06-11,1357.09,1357.09,1335.47,1335.49
2008-06-12,1335.78,1353.03,1331.6,1339.87
2008-06-13,1341.81,1360.03,1341.81,1360.03
2008-06-16,1358.85,1364.59,1352.07,1360.14
2008-06-17,1360.71,1366.59,1350.76,1350.93
2008-06-18,1349.59,1349.59,1333.4,1337.81
2008-06-19,1336.89,1347.66,1330.5,1342.83
2008-06-20,1341.02,1341.02,1314.46,1317.93
2008-06-23,1320.52,1323.78,1315.31,1318.0
2008-06-24,1317.23,1326.02,1305.2,1314.29
2008-06-25,1314.54,1335.36,1314.54,1321.97
2008-06-26,1316.29,1316.29,1283.15,1283.15
2008-06-27,1283.6,1289.33,1272.24,1278.38
2008-06-30,1278.06,1290.1,1275.44,1280.0
2008-07-01,1276.69,1285.07,1260.94,1284.91
2008-07-02,1285.82,1292.07,1261.52,1261.52
2008-07-03,1262.96,1271.48,1253.46,1262.9
2008-07-07,1262.9,1273.95,1241.16,1252.31
2008-07-08,1251.84,1274.17,1242.84,1273.7
2008-07-09,1273.38,1277.36,1244.61,1244.69
2008-07-10,1245.25,1257.64,1236.76,1253.39
2008-07-11,1248.66,1257.27,1225.35,1239.49
2008-07-14,1241.61,1253.2,1225.09,1228.3
2008-07-15,1226.83,1234.04,1200.99,1214.91
2008-07-16,1214.65,1245.36,1211.91,1245.36
2008-07-17,1246.31,1262.31,1241.65,1260.32
2008-07-18,1258.22,1262.23,1251.81,1260.68
2008-07-21,1261.82,1267.47,1255.7,1260.0
2008-07-22,1257.08,1277.42,1249.19,1277.0
2008-07-23,1278.87,1291.17,1276.28,1282.19
2008-07-24,1283.22,1283.22,1251.63,1252.54
2008-07-25,1253.51,1262.92,1251.75,1257.76
2008-07-28,1257.76,1260.09,1234.37,1234.37
2008-07-29,1236.38,1263.2,1236.38,1263.2
2008-07-30,1264.52,1284.33,1264.52,1284.26
2008-07-31,1281.37,1284.93,1265.97,1267.38
2008-08-01,1269.42,1270.49,1254.54,1260.31
2008-08-04,1260.16,1260.49,1247.54,1249.01
2008-08-05,1254.87,1284.88,1254.67,1284.88
2008-08-06,1283.99,1291.67,1276.02,1289.19
2008-08-07,1286.51,1286.51,1264.29,1266.07
2008-08-08,1266.29,1297.85,1262.11,1296.32
2008-08-11,1294.42,1313.15,1291.41,1305.32
2008-08-12,1304.79,1304.79,1285.64,1289.59
2008-08-13,1288.64,1293.35,1274.86,1285.83
2008-08-14,1282.11,1299.5,1277.12,1292.93
2008-08-15,1293.85,1301.62,1291.01,1298.2
2008-08-18,1298.14,1300.06,1274.51,1278.6
2008-08-19,1276.65,1276.65,1263.11,1266.69
2008-08-20,1267.34,1275.81,1261.32,1274.54
2008-08-21,1271.07,1281.4,1265.22,1277.72
2008-08-22,1277.59,1293.09,1277.59,1292.2
2008-08-25,1290.47,1290.47,1264.87,1266.84
2008-08-26,1267.03,1275.65,1263.21,1271.51
2008-08-27,1271.29,1285.05,1270.03,1281.66
2008-08-28,1283.79,1300.68,1283.79,1300.68
2008-08-29,1296.49,1297.5,1282.74,1282.83
2008-09-02,1287.83,1303.04,1272.2,1277.58
2008-09-03,1276.61,1280.6,1265.76,1274.98
2008-09-04,1271.8,1271.8,1232.83,1236.83
2008-09-05,1233.21,1244.94,1217.23,1242.31
2008-09-08,1249.5,1274.33,1247.12,1267.79
2008-09-09,1267.98,1268.59,1224.51,1224.51
2008-09-10,1227.5,1243.9,1221.6,1232.04
2008-09-11,1229.04,1249.83,1211.82,1249.05
2008-09-12,1245.88,1255.09,1233.81,1251.7
2008-09-15,1250.92,1250.92,1192.7,1192.7
2008-09-16,1188.31,1214.07,1169.28,1213.6
2008-09-17,1210.34,1210.34,1155.88,1156.39
2008-09-18,1157.08,1209.82,1133.5,1206.51
2008-09-19,1213.11,1264.46,1213.11,1255.08
2008-09-22,1255.37,1255.37,1205.88,1207.09
2008-09-23,1207.61,1221.15,1187.44,1188.22
2008-09-24,1188.79,1197.41,1180.71,1185.87
2008-09-25,1187.87,1220.03,1187.87,1209.18
2008-09-26,1194.21,1215.41,1188.05,1213.27
2008-09-29,1195.18,1195.18,1106.42,1106.42
2008-09-30,1126.45,1167.66,1126.45,1164.74
2008-10-01,1157.54,1166.4,1141.44,1161.06
2008-10-02,1150.68,1150.68,1112.11,1114.28
2008-10-03,1126.26,1153.82,1099.23,1099.23
2008-10-06,1097.56,1097.56,1008.93,1056.89
2008-10-07,1064.97,1067.72,996.23,996.23
2008-10-08,988.91,1019.08,972.16,984.94
2008-10-09,995.77,1003.87,909.92,909.92
2008-10-10,846.7,926.47,844.05,899.22
2008-10-13,921.28,1005.78,921.28,1003.35
2008-10-14,1038.37,1043.95,972.97,998.01
2008-10-15,976.08,976.08,906.64,907.84
2008-10-16,912.77,946.43,866.67,946.43
2008-10-17,923.27,983.36,922.08,940.55
2008-10-20,949.6,985.4,946.52,985.4
2008-10-21,969.0,983.26,954.42,955.05
2008-10-22,934.04,934.54,879.12,896.78
2008-10-23,902.52,918.76,862.9,908.11
2008-10-24,877.66,896.3,854.81,876.77
2008-10-27,867.57,892.62,848.09,848.92
2008-10-28,872.97,940.51,848.28,940.51
2008-10-29,939.51,967.81,927.9,930.09
2008-10-30,939.38,961.96,930.2,954.09
2008-10-31,949.27,983.87,945.14,968.75
2008-11-03,967.94,974.54,958.82,966.3
2008-11-04,984.18,1007.37,981.95,1005.75
2008-11-05,991.61,1000.17,952.3,952.77
2008-11-06,951.8,951.8,900.07,904.88
2008-11-07,913.04,930.99,909.15,930.99
2008-11-10,941.19,948.42,907.61,919.21
2008-11-11,902.72,914.37,885.2,898.95
2008-11-12,887.79,887.79,851.57,852.3
2008-11-13,855.9,912.62,821.02,911.29
